time,wind,meet,round,level,hurdle_height,notes
15.14,,Section 8 League Meet #2,F,HS,39,hand-timed
14.55,,New York Relays,P,HS,39,
14.44,,New York Relays,F,HS,39,
14.59,,St. Anthony's Invitational 2023,P,HS,39,
14.16,,St. Anthony's Invitational 2023,F,HS,39,
14.31,,Section 8 Division 1A,F,HS,39,
14.51,1.1,Glenn D. Loucks Games 2023,P,HS,39,
14.71,0.6,Glenn D. Loucks Games 2023,F,HS,39,
14.22,,Section 8 State Qualifier,P,HS,39,
14.0,,Section 8 State Qualifier,F,HS,39,HS PB
14.41,-0.1,NYSPHSAA - NY State Championships,P,HS,39,
14.1,-0.6,NYSPHSAA - NY State Championships,F,HS,39,
14.15,2.6,NYSPHSAA - NY State Championships,Ch,HS,39,
14.49,-1.8,New Balance Nationals Outdoor,S,HS,39,
14.26,1.1,New Balance Nationals Outdoor,P,HS,39,
13.8,,Unknown HS Meet,F,HS,39,HS best
14.97,0.9,Yellow Jacket Invitational,F,College,42,College PB at time
15.28,2.6,UConn Dog Fight,F,College,42,
15.8,0.2,UConn Northeast Challenge,F,College,42,
15.11,0.1,Jay Carisella Coaches Invite (Northeastern),F,College,42,
15.08,2.8,2025 BIG EAST Outdoor Championships,P,College,42,
15.21,1.0,2025 BIG EAST Outdoor Championships,F,College,42,
